,district,address,room_count,area,floors,house_type,price,latitude,longitude,quadrant,price_psqm
2651,Ziepniekkalns,Bauskas 45,1,28.0,1/4,Jaun.,400.0,56.9184679,24.10088464249329,472.0,14.285714285714286
2658,centrs,Martas 7,2,45.0,3/7,Jaun.,550.0,56.9553717,24.1281063609436,919.0,12.222222222222221
2674,centrs,Stabu 38,2,55.0,3/5,Jaun.,680.0,56.9551759,24.1303731,919.0,12.363636363636363
2675,Vecmīlgrāvis,Gliemežu 5,1,36.0,5/5,Specpr.,170.0,57.0373904,24.08846308998041,1982.0,4.722222222222222
2676,centrs,Čaka 59,3,139.0,5/5,P. kara,950.0,56.9553389,24.1342842,920.0,6.83453237410072
2687,Teika,Bērzpils 7,3,53.0,1/5,Hrušč.,450.0,56.9792925,24.1737087,1243.0,8.49056603773585
2700,centrs,Valdemāra 123,1,20.0,4/6,Specpr.,290.0,56.9672898,24.1301484,1108.0,14.5
2712,centrs,Bruņinieku 28,3,78.0,4/6,P. kara,600.0,56.9559254,24.1318982,982.0,7.6923076923076925
2719,centrs,Alberta 11,3,59.0,2/6,P. kara,220.0,56.95900535,24.108792096133044,978.0,3.7288135593220337
2727,Ziepniekkalns,Graudu 76,2,73.0,3/3,Jaun.,550.0,56.91108095,24.07763635,405.0,7.534246575342466
2728,Bieriņi,Cēres 2A,2,73.0,3/3,Jaun.,550.0,56.9119048,24.07665194412995,404.0,7.534246575342466
2731,Vecmīlgrāvis,Vecmīlgrāvja 1. l. 37,2,36.0,2/5,LT proj.,200.0,57.0288589,24.1070599,1859.0,5.555555555555555
2737,Ķengarags,Kaņiera 10,2,45.0,1/5,LT proj.,220.0,56.914816650000006,24.16897912220884,423.0,4.888888888888889
2741,centrs,Baznīcas 37,4,145.0,3/5,P. kara,2400.0,56.9588553,24.1228876,981.0,16.551724137931036
2747,Mežciems,Hipokrāta 20,2,45.0,5/5,Jaun.,650.0,56.960907000000006,24.239668869142143,1067.0,14.444444444444445
2752,Teika,Ropažu 74,2,39.0,2/5,103.,175.0,56.98189375,24.184871009048592,1308.0,4.487179487179487
