district,address,room_count,area,floors,house_type,price,latitude,longitude
centrs,Dzirnavu 115A,1,117,3/5,P. kara,"210,000  €",56.9493669,24.12535822044176
Maskavas priekšpilsēta,Viļānu 9,1,33,2/5,Hrušč.,"32,000  €",,
Imanta,Zentenes 24,3,67,1/5,LT proj.,"49,950  €",56.96054995,24.002337056994552
Purvciems,Braslas 53,2,71,3/6,Jaun.,"126,000  €",56.95747179999999,24.16698908820361
Ķengarags,Maskavas 252/5,2,48,5/5,Hrušč.,"49,950  €",56.8997798,24.2039578
Imanta,Kooperatīva 38,3,64,5/5,LT proj.,450  €/mēn.,56.95963205,24.0312503
centrs,Zirņu 1,1,32,10/12,Specpr.,320  €/mēn.,,
centrs,Hospitāļu 3,1,29,3/5,P. kara,200  €/mēn.,,
Šampēteris-Pleskodāle,Lielirbes 11,3,101,20/24,Jaun.,"200,000  €",56.9348241,24.0428561
Ķengarags,Prūšu 23,3,57,4/5,Hrušč.,"68,000  €",56.91062315,24.194299121938517
centrs,Blaumaņa 32,5,132,5/6,P. kara,900  €/mēn.,56.9520624,24.1254698
centrs,Barona 63,5,155,3/5,Renov.,900  €/mēn.,56.9572331,24.1326688
centrs,Barona 63,2,60,2/5,Renov.,500  €/mēn.,56.9572331,24.1326688
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Specpr.,240  €/mēn.,51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,Specpr.,240  €/mēn.,51.77014725,-1.2649910410071945
Ziepniekkalns,Graudu 30a,1,29,1/2,Specpr.,240  €/mēn.,56.909665,24.0994122
Purvciems,Ilūkstes 101,2,53,1/5,103.,340  €/mēn.,56.9521699,24.19569529834171
Purvciems,Ūnijas 24,1,34,5/5,Specpr.,400  €/mēn.,56.9625569,24.1815831
centrs,Sadovņikova 39a,2,45,4/5,P. kara,350  €/mēn.,,
Zolitūde,Ruses 9,2,59,6/9,119.,"69,500  €",56.9473522,24.0057465
centrs,Ģertrūdes 113,2,56,1/6,P. kara,"91,000  €",56.9582121,24.1213972
centrs,Bruņinieku 45,4,115,3/6,P. kara,"268,000  €",56.9558551,24.13277968589744
centrs,Zirņu 5,2,50,5/9,467.,"79,900  €",,
Purvciems,Purvciema 46,1,39,2/5,M. ģim.,300  €/mēn.,56.95423785,24.183842
Jaunciems,Jaunciema g. 167,1,19,1/2,P. kara,"9,600  €",57.0473198,24.1756587
Ķengarags,Salaspils 6,3,60,2/5,LT proj.,"51,500  €",56.9224989,24.1797086
Iļģuciems,Spilves 39,3,62,5/5,LT proj.,"48,300  €",56.9698075,24.0481658
Iļģuciems,Buļļu 35A,3,54,4/5,LT proj.,"39,900  €",56.96943105,24.050885055079853
Pļavnieki,Jasmuižas 7,1,36,2/9,602.,"49,650  €",56.93721775,24.210225601936564
