,district,address,room_count,area,floors,house_type,price,latitude,longitude,quadrant,price_psqm
45,Purvciems,Staiceles 17,3,62.0,2/5,LT proj.,53990.0,56.95787475,24.1733414,991.0,870.8064516129032
46,Āgenskalns,Daugavgrīvas 41,1,30.0,2/2,P. kara,32300.0,56.9441285,24.0836451,784.0,1076.6666666666667
47,Ķengarags,Ikšķiles 4,2,45.0,5/5,LT proj.,49900.0,56.90080385,24.20703229999999,304.0,1108.888888888889
48,Teika,Brīvības 215,2,53.0,5/5,Specpr.,40000.0,56.975238,24.172448948187675,1180.0,754.7169811320755
49,Pļavnieki,Salnas 21,2,47.0,3/9,Jaun.,93500.0,56.942327,24.23009287799782,813.0,1989.3617021276596
50,Mežciems,Eizenšteina 37,2,51.0,1/9,602.,57750.0,56.9674866,24.23357643370678,1129.0,1132.3529411764705
51,Purvciems,Ieriķu 19,2,45.0,1/2,Hrušč.,37500.0,56.9657678,24.1858786,1119.0,833.3333333333334
52,Pļavnieki,Lubānas 129,1,44.0,8/9,602.,40000.0,56.9411711,24.237357,815.0,909.0909090909091
53,centrs,Skolas 10,3,198.0,6/6,Renov.,295000.0,56.95679505,24.117743124113645,980.0,1489.8989898989898
54,Daugavgrīva,Slimnīcas 5,1,34.0,5/5,103.,35000.0,57.03916545,24.03121370376394,1970.0,1029.4117647058824
55,centrs,Dzirnavu 115A,1,117.0,3/5,P. kara,210000.0,56.9493669,24.12535822044176,855.0,1794.871794871795
56,Imanta,Zentenes 24,3,67.0,1/5,LT proj.,49950.0,56.96054995,24.002337056994552,1020.0,745.5223880597015
57,Purvciems,Braslas 53,2,71.0,3/6,Jaun.,126000.0,56.95747179999999,24.16698908820361,989.0,1774.6478873239437
58,Ķengarags,Maskavas 252/5,2,48.0,5/5,Hrušč.,49950.0,56.8997798,24.2039578,241.0,1040.625
59,Šampēteris-Pleskodāle,Lielirbes 11,3,101.0,20/24,Jaun.,200000.0,56.9348241,24.0428561,650.0,1980.1980198019803
60,Ķengarags,Prūšu 23,3,57.0,4/5,Hrušč.,68000.0,56.91062315,24.19429912193852,428.0,1192.982456140351
